Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
192,Murray State,22,16,6,0.727,7.63,-0.51,8,3,10,1,3,3,1899,1720,880,638,1359,0.469,218,616,0.354,405,530,0.764,265,834,323,128,93,258,413
193,Navy,22,16,6,0.727,-2.88,-9.48,8,1,10,1,5,4,1609,1397,890,551,1192,0.462,145,412,0.352,362,488,0.742,230,811,330,159,63,263,333
194,NC State,21,15,6,0.714,21.17,7.4,6,2,9,3,4,1,1794,1505,850,612,1281,0.478,222,569,0.39,348,455,0.765,211,762,351,184,66,205,399
195,Nebraska,21,20,1,0.952,23.35,8.3,9,1,12,0,5,1,1690,1374,840,600,1263,0.475,228,644,0.354,262,344,0.762,185,752,387,150,58,190,296
196,Nevada,21,15,6,0.714,11.61,5.9,7,3,10,2,4,3,1602,1482,850,523,1205,0.434,148,383,0.386,408,536,0.761,249,761,302,141,87,197,378
197,Nevada-Las Vegas,20,10,10,0.5,3.09,4.56,5,4,6,5,4,2,1560,1546,805,540,1179,0.458,127,408,0.311,353,518,0.681,236,716,284,170,88,253,427
198,New Hampshire,19,7,12,0.368,-12.37,-3.07,3,3,6,2,1,10,1341,1389,780,482,1163,0.414,157,491,0.32,220,318,0.692,202,685,220,117,49,219,356
199,New Haven,20,9,11,0.45,-14.27,-4.57,4,3,6,3,3,8,1295,1335,800,484,1090,0.444,137,437,0.314,190,286,0.664,178,642,255,141,49,242,279
200,New Mexico,21,17,4,0.81,15.66,3.81,8,2,12,0,4,3,1704,1417,840,582,1281,0.454,204,585,0.349,336,449,0.748,223,784,317,175,67,233,368
201,New Mexico State,20,10,10,0.5,0.9,-0.86,3,7,7,4,1,4,1529,1401,800,535,1215,0.44,164,476,0.345,293,405,0.723,252,753,274,139,67,216,395
202,New Orleans,21,8,13,0.381,-4.34,1.71,6,6,3,3,5,10,1563,1690,845,524,1183,0.443,142,426,0.333,373,497,0.751,254,783,264,114,84,313,419
203,Niagara,20,5,15,0.25,-18.79,-7.79,2,8,3,3,2,11,1263,1449,800,467,1083,0.431,135,428,0.315,194,271,0.716,162,577,269,112,67,229,305
204,Nicholls State,21,8,13,0.381,-6.58,-0.23,7,5,5,3,3,10,1555,1614,840,535,1243,0.43,199,574,0.347,286,432,0.662,228,646,286,208,49,254,389
205,NJIT,21,9,12,0.429,-16.36,-5.71,4,2,5,3,4,9,1414,1592,840,475,1218,0.39,164,528,0.311,300,416,0.721,213,728,224,124,65,263,396
206,Norfolk State,23,10,13,0.435,-12.27,-7.53,3,3,6,3,3,8,1758,1680,920,621,1341,0.463,133,402,0.331,383,567,0.675,270,826,280,164,67,282,443
207,North Alabama,18,6,12,0.333,-15.02,-4.33,1,6,3,5,3,7,1283,1416,725,449,1035,0.434,114,364,0.313,271,392,0.691,200,604,185,125,77,194,279
208,North Carolina,20,16,4,0.8,19.54,7.04,4,3,12,0,2,3,1651,1401,800,573,1188,0.482,176,509,0.346,329,487,0.676,231,801,341,115,74,197,297
209,North Carolina A&T,19,9,10,0.474,-9.01,-6.07,2,6,6,3,3,6,1447,1451,760,479,1057,0.453,115,361,0.319,374,529,0.707,217,740,233,101,78,247,360
210,North Carolina Central,19,7,12,0.368,-16.95,-1.08,3,1,5,3,2,9,1399,1483,760,478,1098,0.435,118,367,0.322,325,445,0.73,211,627,293,170,65,238,353
211,North Dakota,24,12,12,0.5,-9.15,-3.2,6,2,7,5,5,6,1863,1840,970,650,1481,0.439,198,582,0.34,365,524,0.697,279,813,275,228,62,251,493
212,North Dakota State,23,18,5,0.783,1.97,-4.83,8,0,10,0,7,4,1863,1605,935,664,1423,0.467,213,592,0.36,322,444,0.725,279,828,352,208,74,252,343
