Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
282,Southern,20,8,12,0.4,-10.66,-1.66,4,3,5,2,3,10,1609,1580,810,569,1255,0.453,138,410,0.337,333,481,0.692,240,724,286,211,72,257,386
283,Southern California,21,15,6,0.714,13.6,8.95,4,6,7,3,4,3,1714,1582,860,582,1239,0.47,134,421,0.318,416,583,0.714,239,786,327,132,117,258,406
284,Southern Illinois,21,9,12,0.429,2.81,1.91,3,7,6,3,2,8,1574,1515,855,587,1267,0.463,103,364,0.283,297,452,0.657,239,808,294,167,74,266,392
285,SIU Edwardsville,21,13,8,0.619,-8.93,-9.43,6,4,7,4,5,4,1529,1371,845,552,1240,0.445,148,437,0.339,277,409,0.677,250,780,282,163,84,239,342
286,Southern Indiana,20,5,15,0.25,-13.92,-7.81,2,8,3,6,2,7,1411,1467,810,482,1227,0.393,170,539,0.315,277,428,0.647,252,776,217,126,92,246,344
287,Southern Methodist,20,15,5,0.75,19.04,8.79,4,3,12,1,2,3,1745,1540,810,624,1262,0.494,158,432,0.366,339,441,0.769,247,767,356,154,79,232,344
288,Southern Mississippi,22,11,11,0.5,-8.22,-5.57,5,5,6,1,3,9,1628,1622,890,569,1256,0.453,113,389,0.29,377,515,0.732,228,789,259,175,80,282,416
289,Southern Utah,21,7,14,0.333,-11.49,0.62,3,5,6,2,0,12,1635,1695,845,590,1292,0.457,164,486,0.337,291,400,0.728,224,778,305,119,93,291,348
290,St. Bonaventure,21,13,8,0.619,1.55,-0.05,2,6,8,3,3,3,1629,1557,845,598,1286,0.465,153,416,0.368,280,367,0.763,257,738,344,160,98,232,335
291,St. John's (NY),21,16,5,0.762,22.24,9.38,9,1,10,2,5,0,1793,1523,840,613,1308,0.469,162,453,0.358,405,553,0.732,291,811,340,171,108,237,378
292,St. Thomas,22,17,5,0.773,1.74,-3.94,6,1,10,0,6,4,1804,1591,880,637,1266,0.503,202,571,0.354,328,470,0.698,153,719,367,184,56,217,350
293,Stanford,21,14,7,0.667,11.2,8.29,3,5,9,5,2,2,1589,1528,840,522,1235,0.423,182,534,0.341,363,504,0.72,251,727,257,165,67,235,377
294,Stephen F. Austin,21,18,3,0.857,4.62,-5.33,11,1,10,0,8,3,1640,1376,840,601,1329,0.452,193,539,0.358,245,374,0.655,280,832,300,147,76,200,348
295,Stetson,21,7,14,0.333,-14.38,-2.06,3,5,6,3,1,10,1512,1698,845,529,1202,0.44,180,542,0.332,274,410,0.668,207,709,300,138,43,287,325
296,Stonehill,21,7,14,0.333,-15.21,-7.11,4,4,5,3,2,10,1409,1470,855,513,1209,0.424,159,478,0.333,224,331,0.677,224,813,282,96,79,305,354
297,Stony Brook,21,12,9,0.571,-5.53,-3.47,4,4,9,2,2,6,1517,1485,855,534,1248,0.428,202,566,0.357,247,353,0.7,221,740,296,139,86,235,338
298,Syracuse,21,12,9,0.571,10.35,4.92,3,5,9,4,2,2,1581,1467,850,568,1217,0.467,147,441,0.333,298,470,0.634,226,740,277,144,128,243,345
299,Tarleton State,20,11,9,0.55,-1.63,-0.88,2,5,8,2,3,7,1603,1487,810,558,1193,0.468,101,300,0.337,386,504,0.766,224,674,254,224,53,289,415
300,TCU,21,13,8,0.619,15.45,6.69,3,5,9,5,2,3,1670,1486,850,586,1267,0.463,159,468,0.34,339,473,0.717,236,744,342,159,108,237,359
301,Temple,21,13,8,0.619,0.54,-2.71,5,3,8,3,4,2,1579,1468,845,521,1155,0.451,148,419,0.353,389,518,0.751,208,715,268,121,98,191,349
302,Tennessee,20,14,6,0.7,21.47,8.87,4,3,10,1,2,3,1648,1396,815,583,1219,0.478,145,413,0.351,337,491,0.686,313,860,351,155,72,260,367
303,Tennessee State,20,13,7,0.65,-7.74,-6.56,7,3,5,1,7,6,1627,1537,805,595,1295,0.459,125,393,0.318,312,421,0.741,261,768,276,200,71,257,377
304,Tennessee Tech,21,7,14,0.333,-15.81,-5.86,2,8,4,5,3,9,1540,1605,840,545,1237,0.441,137,459,0.298,313,428,0.731,231,769,265,139,70,289,363
305,Tennessee-Martin,20,15,5,0.75,-5.11,-7.93,7,2,9,0,5,4,1457,1285,800,490,1135,0.432,158,505,0.313,319,470,0.679,280,829,269,175,95,299,343
306,Texas,21,12,9,0.571,17.45,8.3,3,5,9,3,1,4,1803,1579,845,609,1241,0.491,164,476,0.345,421,570,0.739,272,834,273,133,61,237,418
307,Texas A&M,20,16,4,0.8,17.96,2.86,6,1,12,1,3,2,1835,1533,815,613,1288,0.476,229,614,0.373,380,508,0.748,247,762,399,182,71,230,392
308,Texas A&M-Corpus Christi,21,11,10,0.524,-2.36,0.82,7,5,6,3,5,7,1532,1402,840,544,1220,0.446,130,381,0.341,314,477,0.658,258,785,287,173,72,274,416
309,Texas Southern,19,6,13,0.316,-14.21,-3.15,4,4,5,4,1,9,1425,1531,765,495,1099,0.45,119,362,0.329,316,445,0.71,190,647,214,126,60,268,375
310,Texas State,23,12,11,0.522,-10.55,-7.07,5,6,11,1,1,8,1680,1642,930,612,1340,0.457,109,339,0.322,347,465,0.746,270,842,294,204,83,307,416
311,Texas Tech,20,16,4,0.8,22.44,12.04,6,1,11,0,2,2,1683,1475,800,595,1262,0.471,228,582,0.392,265,373,0.71,253,766,324,124,68,208,326
312,Texas-Rio Grande Valley,21,10,11,0.476,-1.41,-0.57,6,6,6,4,4,7,1544,1445,840,557,1208,0.461,191,520,0.367,239,329,0.726,203,733,347,137,58,251,374
313,The Citadel,21,6,15,0.286,-17.56,-4.23,3,5,5,5,1,9,1471,1629,855,512,1214,0.422,197,599,0.329,250,358,0.698,222,709,267,103,45,235,345
314,Toledo,21,11,10,0.524,-0.3,0.07,5,4,7,3,3,6,1726,1656,840,623,1305,0.477,148,417,0.355,332,426,0.779,239,716,337,160,61,230,314
315,Towson,22,12,10,0.545,-1.64,-0.04,4,5,7,2,2,7,1530,1476,880,561,1342,0.418,141,495,0.285,267,382,0.699,320,873,226,152,62,245,345
316,Troy,21,15,6,0.714,1.75,-3.3,8,1,7,1,7,4,1817,1602,890,622,1347,0.462,216,604,0.358,357,488,0.732,276,833,352,189,69,262,368
317,Tulane,21,12,9,0.571,-2.48,-0.78,3,5,8,5,3,2,1546,1568,845,495,1152,0.43,164,511,0.321,392,510,0.769,167,647,269,170,99,222,363
318,Tulsa,21,18,3,0.857,12.15,-0.32,6,2,9,1,5,2,1841,1510,840,601,1225,0.491,214,541,0.396,425,533,0.797,242,805,327,139,52,221,340
319,UAB,21,13,8,0.619,4.02,-0.68,4,4,6,6,5,2,1730,1580,855,621,1393,0.446,116,400,0.29,372,522,0.713,289,874,306,179,69,189,317
320,UC Davis,20,12,8,0.6,-0.51,-0.51,5,4,9,3,3,5,1593,1510,800,531,1150,0.462,179,494,0.362,352,474,0.743,193,678,329,156,54,262,380
321,UC Irvine,21,14,7,0.667,2.39,-1.34,7,2,6,3,5,3,1616,1402,845,587,1267,0.463,121,361,0.335,321,469,0.684,245,850,337,152,128,259,335
322,UC Riverside,21,7,14,0.333,-9.6,0.77,2,7,4,4,3,10,1502,1633,840,525,1196,0.439,149,450,0.331,303,412,0.735,207,711,261,103,83,283,390
323,UC San Diego,21,15,6,0.714,4.72,-1.49,5,4,5,4,6,2,1665,1492,840,589,1255,0.469,194,562,0.345,293,418,0.701,215,790,319,155,52,222,336
324,UC Santa Barbara,20,13,7,0.65,1.38,-2.68,6,3,8,2,3,4,1600,1461,810,546,1123,0.486,182,465,0.391,326,429,0.76,217,695,304,140,50,249,375
325,UCF,20,16,4,0.8,14.69,7.64,5,3,11,2,3,2,1680,1539,800,612,1269,0.482,174,458,0.38,282,386,0.731,260,769,331,110,58,237,357
326,UCLA,21,15,6,0.714,15.83,7.21,7,3,12,0,3,3,1620,1439,840,569,1197,0.475,157,417,0.376,325,431,0.754,208,678,324,141,73,205,353
327,UNC Asheville,21,9,12,0.429,-4.58,-1.91,3,4,6,5,2,7,1567,1534,845,544,1179,0.461,150,413,0.363,329,470,0.7,219,741,236,121,60,271,386
328,UNC Greensboro,21,8,13,0.381,-12.04,-3.41,4,4,5,5,2,5,1642,1700,850,558,1227,0.455,168,471,0.357,358,519,0.69,218,756,266,108,37,220,334
329,UNC Wilmington,21,18,3,0.857,1.64,-6.67,7,1,11,1,7,2,1632,1401,840,548,1220,0.449,154,445,0.346,382,548,0.697,283,857,278,113,57,219,351
330,UT Arlington,19,13,6,0.684,-0.15,-1.21,5,2,7,1,6,4,1367,1242,760,472,1043,0.453,103,333,0.309,320,444,0.721,229,707,240,150,73,276,356
331,Utah,20,9,11,0.45,6.63,8.08,1,6,8,3,0,6,1601,1630,805,565,1212,0.466,172,464,0.371,299,406,0.736,206,693,283,117,66,223,350
332,Utah State,20,17,3,0.85,18.13,3.97,8,2,8,1,5,2,1685,1360,805,607,1181,0.514,171,466,0.367,300,421,0.713,235,714,365,191,66,217,378
333,Utah Tech,22,11,11,0.5,-4.31,-0.73,4,4,7,2,3,8,1698,1632,895,619,1323,0.468,164,510,0.322,296,406,0.729,225,764,328,170,75,270,368
334,Utah Valley,21,15,6,0.714,5.26,-0.52,5,3,10,0,2,6,1729,1452,845,642,1266,0.507,146,434,0.336,299,426,0.702,255,795,406,197,113,302,382
335,UTEP,21,7,14,0.333,-7.51,0.43,3,7,6,5,1,7,1455,1518,850,517,1200,0.431,150,447,0.336,271,395,0.686,217,673,265,163,78,257,396
336,UTSA,21,4,17,0.19,-16.27,0.89,0,9,2,8,1,8,1433,1659,840,507,1305,0.389,154,549,0.281,265,384,0.69,264,775,228,144,95,264,367
337,Valparaiso,21,10,11,0.476,0.54,1.44,4,6,9,4,1,7,1494,1472,845,503,1225,0.411,149,461,0.323,339,470,0.721,252,769,242,128,80,224,386
338,Vanderbilt,21,18,3,0.857,24.42,7.89,5,3,10,1,5,2,1882,1535,845,646,1321,0.489,213,585,0.364,377,488,0.773,217,778,373,193,111,202,408
339,Vermont,21,13,8,0.619,-5.35,-6.77,5,1,6,2,6,4,1576,1491,855,561,1196,0.469,184,528,0.348,270,364,0.742,189,740,271,97,63,200,358
340,Villanova,20,15,5,0.75,17.05,8.6,6,3,8,2,5,2,1548,1379,810,547,1190,0.46,195,537,0.363,259,364,0.712,248,713,297,142,45,207,323
341,Virginia,20,17,3,0.85,21.06,5.91,6,2,10,1,5,1,1692,1389,825,581,1229,0.473,208,568,0.366,322,455,0.708,286,839,349,126,121,217,385
342,Virginia Commonwealth,21,15,6,0.714,13.05,2.48,6,2,10,2,3,2,1765,1543,840,578,1238,0.467,203,556,0.365,406,547,0.742,246,767,304,161,93,230,367
343,VMI,21,6,15,0.286,-18.91,-4.86,1,7,5,5,1,8,1538,1622,840,516,1282,0.402,228,694,0.329,278,392,0.709,237,733,261,158,59,221,368
344,Virginia Tech,22,16,6,0.727,13.29,6.43,5,4,12,1,2,3,1782,1631,910,610,1356,0.45,185,530,0.349,377,521,0.724,253,797,317,154,82,226,379
345,Wagner,18,6,12,0.333,-12.67,-6.93,1,6,4,3,2,9,1325,1336,735,486,1064,0.457,138,383,0.36,215,305,0.705,217,683,250,98,46,243,351
346,Wake Forest,21,11,10,0.524,12.43,9.0,2,6,8,4,1,4,1683,1611,850,583,1297,0.449,196,580,0.338,321,422,0.761,228,703,313,192,73,247,402
347,Washington,20,11,9,0.55,15.17,9.42,3,6,8,3,2,5,1580,1465,810,560,1248,0.449,133,423,0.314,327,424,0.771,247,766,278,121,85,212,345
348,Washington State,23,10,13,0.435,3.64,4.59,5,5,7,4,1,7,1755,1771,920,615,1301,0.473,210,580,0.362,315,434,0.726,232,802,300,131,67,311,413
349,Weber State,21,10,11,0.476,-2.19,-2.34,4,4,7,4,3,7,1736,1602,850,612,1302,0.47,160,442,0.362,352,497,0.708,254,811,306,160,39,249,404
350,West Georgia,21,10,11,0.476,-12.74,-4.32,4,5,7,3,3,8,1589,1691,850,580,1318,0.44,159,451,0.353,270,381,0.709,255,759,269,139,107,251,346
351,West Virginia,21,14,7,0.667,12.04,4.23,5,3,13,0,1,3,1504,1340,850,518,1153,0.449,179,499,0.359,289,421,0.686,215,744,281,132,57,233,320
352,Western Carolina,19,7,12,0.368,-9.43,-0.43,3,5,6,2,1,10,1476,1516,770,544,1229,0.443,158,488,0.324,230,333,0.691,271,758,256,126,58,241,372
353,Western Illinois,21,4,17,0.19,-20.92,-6.97,0,10,3,5,1,12,1383,1576,845,489,1205,0.406,109,366,0.298,296,439,0.674,248,720,168,117,45,252,345
354,Western Kentucky,21,11,10,0.524,-0.13,0.61,4,6,8,3,2,5,1644,1585,845,535,1336,0.4,174,526,0.331,400,540,0.741,302,866,268,163,61,225,409
355,Western Michigan,21,8,13,0.381,-7.57,-1.68,2,7,7,4,1,9,1584,1663,840,564,1257,0.449,151,447,0.338,305,413,0.738,244,782,285,107,55,276,405
356,Wichita State,21,13,8,0.619,8.23,0.83,5,3,10,2,3,3,1634,1460,860,573,1290,0.444,165,456,0.362,323,464,0.696,316,864,249,118,84,218,363
357,William & Mary,20,14,6,0.7,2.58,-1.03,5,3,9,0,3,6,1672,1513,800,575,1207,0.476,182,541,0.336,340,458,0.742,190,726,382,177,78,258,340
358,Winthrop,23,15,8,0.652,0.89,-3.26,7,1,9,1,5,7,1950,1706,925,647,1451,0.446,223,644,0.346,433,596,0.727,329,948,346,163,72,244,429
359,Wisconsin,21,15,6,0.714,16.26,8.17,7,3,11,2,3,1,1739,1569,845,576,1280,0.45,228,659,0.346,359,465,0.772,220,775,333,120,66,209,373
360,Wofford,21,14,7,0.667,-5.94,-5.41,6,2,8,2,6,5,1657,1609,840,561,1251,0.448,195,550,0.355,340,474,0.717,247,743,298,132,72,210,357
361,Wright State,21,13,8,0.619,1.28,-2.61,8,2,8,3,4,4,1693,1517,845,609,1233,0.494,151,416,0.363,324,444,0.73,232,734,295,170,99,239,383
362,Wyoming,21,12,9,0.571,7.57,2.92,3,7,10,3,1,6,1654,1537,840,568,1237,0.459,163,503,0.324,355,482,0.737,262,786,293,143,53,253,448
363,Xavier,21,11,10,0.524,8.38,8.0,3,7,9,4,1,5,1638,1630,840,590,1347,0.438,205,565,0.363,253,359,0.705,216,738,393,148,93,213,379
364,Yale,18,15,3,0.833,8.68,-1.13,4,1,6,1,5,2,1525,1286,720,537,1068,0.503,157,379,0.414,294,379,0.776,197,647,303,95,56,169,294
365,Youngstown State,22,10,12,0.455,-4.55,-4.34,3,8,7,4,2,7,1747,1600,885,606,1325,0.457,230,663,0.347,305,419,0.728,271,788,317,169,83,283,404
