Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
Michael Kelly,1.23,14.2,32,4.52,5.67,0.136,0.136,4.91,4.91,6.75,0.61,Kelly
Rob Zastryzny,2.03,13.1,33,4.22,3.19,0.28800000000000003,0.038,10.13,1.35,6.75,2.03,Zastryzny
John Schreiber,3.12,40.1,31,4.38,3.72,0.244,0.081,9.37,3.12,8.26,1.56,Schreiber
Ryan Thompson,4.45,32.1,33,4.05,3.87,0.214,0.086,8.35,3.34,10.02,1.11,Thompson
Spencer Bivens,4.59,49.0,31,3.95,4.21,0.192,0.077,7.35,2.94,8.63,0.92,Bivens
Mitch Spence,4.7,74.2,27,5.06,4.11,0.195,0.068,7.59,2.65,9.4,1.81,Spence
Marcus Stroman,5.64,30.1,34,5.27,4.75,0.142,0.09,5.64,3.56,9.79,1.48,Stroman
Brooks Raley,0.0,3.0,37,3.09,5.08,0.25,0.16699999999999998,9.0,6.0,3.0,0.0,Raley
Jon Gray,0.0,2.0,33,3.09,6.82,0.0,0.0,0.0,0.0,4.5,0.0,Gray
Freddy Tarnok,0.0,2.0,26,3.59,3.59,0.16699999999999998,0.0,4.5,0.0,0.0,0.0,Tarnok
Cristian Mena,1.35,6.2,22,3.99,2.94,0.308,0.115,10.8,4.05,4.05,1.35,Mena
Dylan Smith,1.38,13.0,25,4.32,5.47,0.083,0.10400000000000001,2.77,3.46,4.15,0.0,Smith
Jackson Kowar,2.08,8.2,28,4.13,5.21,0.235,0.08800000000000001,8.31,3.12,5.19,1.04,Kowar
Nic Enright,2.7,16.2,28,4.47,5.06,0.22399999999999998,0.11900000000000001,8.1,4.32,5.4,1.08,Enright
Max Lazar,3.04,23.2,26,4.4,4.14,0.17,0.085,6.08,3.04,6.85,1.14,Lazar
Hunter Strickland,3.27,22.0,36,4.37,5.22,0.154,0.11,5.73,4.09,6.95,0.82,Strickland
Casey Lawrence,4.08,17.2,37,4.11,4.75,0.08800000000000001,0.013000000000000001,3.57,0.51,13.25,1.02,Lawrence
Cameron Schlittler,4.35,10.1,24,5.13,4.48,0.222,0.111,8.71,4.35,9.58,1.74,Schlittler
Taylor Clarke,4.55,27.2,32,4.32,3.8,0.19,0.028999999999999998,6.51,0.98,6.51,1.63,Clarke
Jonathan Bowlan,4.64,21.1,28,4.41,4.04,0.213,0.10099999999999999,8.02,3.8,7.59,1.27,Bowlan
Max Scherzer,5.14,28.0,40,5.31,4.24,0.243,0.07,9.0,2.57,8.68,2.25,Scherzer
